Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
4,male,22,1,0,7.25,a
4,female,38,1,0,71.2833,a
4,female,26,0,0,7.925,a
1,female,35,1,0,53.1,a
3,male,35,0,0,8.05,a
3,male,27,0,0,8.4583,a
1,male,54,0,0,51.8625,a
3,male,2,1,1,21.075,a
3,female,27,0,2,11.1333,a
2,female,14,1,0,30.0708,a
3,female,4,1,1,16.7,a
1,female,58,0,0,26.55,a
3,male,20,0,0,8.05,a
3,male,39,1,5,31.275,a
3,female,14,0,0,7.8542,a
2,female,55,0,0,16,a
3,male,2,4,1,29.125,a
2,male,23,0,0,13,a
3,female,31,1,0,18,a
3,female,22,0,0,7.225,a
2,male,35,0,0,26,a
2,male,34,0,0,13,a
3,female,15,0,0,8.0292,a
1,male,28,0,0,35.5,a
3,female,8,3,1,21.075,a
3,female,38,1,5,31.3875,a
3,male,26,0,0,7.225,a
1,male,19,3,2,263,a
3,female,24,0,0,7.8792,a
3,male,23,0,0,7.8958,a
1,male,40,0,0,27.7208,a
1,female,48,1,0,146.5208,a
